Presynaptic column	Presynaptic cell type	Connected presynaptic cells
C2	SymLocal3	155
C2	SymLocal4	107
C2	SymLocal5	4
C2	SymLocal6	0
C3	L2	299
C3	L34	589
C3	L4py	78
C3	L4sp	100
C3	L4ss	31
C3	L5st	81
C3	L5tt	65
C3	L6cc	206
C3	L6ccinv	92
C3	L6ct	39
C3	VPM	3
C3	L1	15
C3	L23Trans	2
C3	L45Peak	15
C3	L45Sym	17
C3	L56Trans	26
C3	SymLocal1	2
C3	SymLocal2	0
C3	SymLocal3	9
C3	SymLocal4	19
C3	SymLocal5	0
C3	SymLocal6	0
C4	L2	18
C4	L34	11
C4	L4py	3
C4	L4sp	19
C4	L4ss	0
C4	L5st	19
C4	L5tt	23
C4	L6cc	97
C4	L6ccinv	22
C4	L6ct	0
C4	VPM	0
C4	L1	0
C4	L23Trans	0
C4	L45Peak	0
C4	L45Sym	0
C4	L56Trans	0
C4	SymLocal1	0
C4	SymLocal2	0
C4	SymLocal3	0
C4	SymLocal4	0
C4	SymLocal5	0
C4	SymLocal6	0
D1	L2	97
D1	L34	179
D1	L4py	21
D1	L4sp	71
D1	L4ss	10
D1	L5st	140
D1	L5tt	0
D1	L6cc	43
D1	L6ccinv	11
D1	L6ct	15
D1	VPM	10
D1	L1	6
D1	L23Trans	1
D1	L45Peak	6
D1	L45Sym	12
D1	L56Trans	30
D1	SymLocal1	0
D1	SymLocal2	0
D1	SymLocal3	1
D1	SymLocal4	11
D1	SymLocal5	1
D1	SymLocal6	0
D2	L2	315
D2	L34	664
D2	L4py	84
D2	L4sp	81
D2	L4ss	79
D2	L5st	98
D2	L5tt	93
D2	L6cc	164
D2	L6ccinv	94
D2	L6ct	20
D2	VPM	5
D2	L1	26
D2	L23Trans	9
D2	L45Peak	19
D2	L45Sym	8
D2	L56Trans	39
D2	SymLocal1	2
D2	SymLocal2	1
D2	SymLocal3	17
D2	SymLocal4	21
D2	SymLocal5	1
D2	SymLocal6	0
D3	L2	57
D3	L34	297
D3	L4py	55
D3	L4sp	7
D3	L4ss	11
D3	L5st	55
D3	L5tt	31
D3	L6cc	80
D3	L6ccinv	39
D3	L6ct	9
D3	VPM	0
D3	L1	8
D3	L23Trans	0
D3	L45Peak	0
D3	L45Sym	0
D3	L56Trans	1
D3	SymLocal1	0
D3	SymLocal2	0
D3	SymLocal3	0
D3	SymLocal4	3
D3	SymLocal5	0
D3	SymLocal6	0
D4	L2	67
D4	L34	0
D4	L4py	0
D4	L4sp	0
D4	L4ss	0
D4	L5st	0
D4	L5tt	0
D4	L6cc	71
D4	L6ccinv	7
D4	L6ct	0
D4	VPM	0
D4	L1	0
D4	L23Trans	0
D4	L45Peak	0
D4	L45Sym	0
D4	L56Trans	0
D4	SymLocal1	0
D4	SymLocal2	0
D4	SymLocal3	0
D4	SymLocal4	0
D4	SymLocal5	0
D4	SymLocal6	0
Delta	L2	0
Delta	L34	6
Delta	L4py	0
Delta	L4sp	9
Delta	L4ss	0
Delta	L5st	34
Delta	L5tt	0
Delta	L6cc	2
Delta	L6ccinv	0
Delta	L6ct	0
Delta	VPM	0
Delta	L1	0
Delta	L23Trans	0
Delta	L45Peak	1
Delta	L45Sym	0
Delta	L56Trans	0
Delta	SymLocal1	0
Delta	SymLocal2	0
Delta	SymLocal3	0
Delta	SymLocal4	0
Delta	SymLocal5	0
Delta	SymLocal6	0
E1	L2	21
E1	L34	8
E1	L4py	0
E1	L4sp	0
E1	L4ss	1
E1	L5st	1
E1	L5tt	0
E1	L6cc	2
E1	L6ccinv	9
E1	L6ct	0
E1	VPM	5
E1	L1	0
E1	L23Trans	0
E1	L45Peak	0
E1	L45Sym	1
E1	L56Trans	3
E1	SymLocal1	0
E1	SymLocal2	0
E1	SymLocal3	0
E1	SymLocal4	1
E1	SymLocal5	0
E1	SymLocal6	0
E2	L2	1
E2	L34	6
E2	L4py	0
E2	L4sp	0
E2	L4ss	0
E2	L5st	0
E2	L5tt	0
E2	L6cc	107
E2	L6ccinv	17
E2	L6ct	0
E2	VPM	0
E2	L1	3
E2	L23Trans	0
E2	L45Peak	0
E2	L45Sym	0
E2	L56Trans	0
E2	SymLocal1	0
E2	SymLocal2	0
E2	SymLocal3	0
E2	SymLocal4	0
E2	SymLocal5	0
E2	SymLocal6	0
E3	L2	0
E3	L34	12
E3	L4py	0
E3	L4sp	0
E3	L4ss	0
E3	L5st	0
E3	L5tt	0
E3	L6cc	4
E3	L6ccinv	28
E3	L6ct	6
E3	VPM	0
E3	L1	0
E3	L23Trans	0
E3	L45Peak	0
E3	L45Sym	0
E3	L56Trans	0
E3	SymLocal1	0
E3	SymLocal2	0
E3	SymLocal3	0
E3	SymLocal4	0
E3	SymLocal5	0
E3	SymLocal6	0
E4	L2	0
E4	L34	0
E4	L4py	0
E4	L4sp	0
E4	L4ss	0
E4	L5st	0
E4	L5tt	0
E4	L6cc	18
E4	L6ccinv	11
E4	L6ct	0
E4	VPM	0
E4	L1	0
E4	L23Trans	0
E4	L45Peak	0
E4	L45Sym	0
E4	L56Trans	0
E4	SymLocal1	0
E4	SymLocal2	0
E4	SymLocal3	0
E4	SymLocal4	0
E4	SymLocal5	0
E4	SymLocal6	0
Gamma	L2	52
Gamma	L34	30
Gamma	L4py	16
Gamma	L4sp	0
Gamma	L4ss	0
Gamma	L5st	35
Gamma	L5tt	0
Gamma	L6cc	44
Gamma	L6ccinv	56
Gamma	L6ct	5
Gamma	VPM	3
Gamma	L1	0
Gamma	L23Trans	0
Gamma	L45Peak	1
Gamma	L45Sym	0
Gamma	L56Trans	1
Gamma	SymLocal1	0
Gamma	SymLocal2	0
Gamma	SymLocal3	0
Gamma	SymLocal4	2
Gamma	SymLocal5	0
Gamma	SymLocal6	0
