Presynaptic column	Presynaptic cell type	Connected presynaptic cells
A1	L2	3
A1	L34	116
A1	L4py	13
A1	L4sp	0
A1	L4ss	5
A1	L5st	59
A1	L5tt	10
A1	L6cc	51
A1	L6ccinv	4
A1	L6ct	0
A1	VPM	1
A1	L1	0
A1	L23Trans	0
A1	L45Peak	0
A1	L45Sym	2
A1	L56Trans	4
A1	SymLocal1	0
A1	SymLocal2	0
A1	SymLocal3	0
A1	SymLocal4	4
A1	SymLocal5	0
A1	SymLocal6	0
A2	L2	9
A2	L34	32
A2	L4py	4
A2	L4sp	0
A2	L4ss	7
A2	L5st	44
A2	L5tt	3
A2	L6cc	73
A2	L6ccinv	13
A2	L6ct	0
A2	VPM	1
A2	L1	0
A2	L23Trans	0
A2	L45Peak	5
A2	L45Sym	2
A2	L56Trans	10
A2	SymLocal1	0
A2	SymLocal2	0
A2	SymLocal3	0
A2	SymLocal4	6
A2	SymLocal5	0
A2	SymLocal6	0
A3	L2	2
A3	L34	17
A3	L4py	5
A3	L4sp	0
A3	L4ss	3
A3	L5st	11
A3	L5tt	14
A3	L6cc	45
A3	L6ccinv	40
A3	L6ct	3
A3	VPM	2
A3	L1	0
A3	L23Trans	0
A3	L45Peak	1
A3	L45Sym	0
A3	L56Trans	3
A3	SymLocal1	0
A3	SymLocal2	0
A3	SymLocal3	0
A3	SymLocal4	1
A3	SymLocal5	0
A3	SymLocal6	0
A4	L2	0
A4	L34	21
A4	L4py	5
A4	L4sp	0
A4	L4ss	0
A4	L5st	0
A4	L5tt	5
A4	L6cc	60
A4	L6ccinv	19
A4	L6ct	0
A4	VPM	0
A4	L1	0
A4	L23Trans	0
A4	L45Peak	1
A4	L45Sym	0
A4	L56Trans	4
A4	SymLocal1	0
A4	SymLocal2	0
A4	SymLocal3	0
A4	SymLocal4	2
A4	SymLocal5	0
A4	SymLocal6	0
Alpha	L2	30
Alpha	L34	61
Alpha	L4py	6
Alpha	L4sp	4
Alpha	L4ss	0
Alpha	L5st	74
Alpha	L5tt	0
Alpha	L6cc	76
Alpha	L6ccinv	33
Alpha	L6ct	13
Alpha	VPM	0
Alpha	L1	0
Alpha	L23Trans	0
Alpha	L45Peak	0
Alpha	L45Sym	0
Alpha	L56Trans	2
Alpha	SymLocal1	0
Alpha	SymLocal2	0
Alpha	SymLocal3	0
Alpha	SymLocal4	3
Alpha	SymLocal5	0
Alpha	SymLocal6	0
B1	L2	200
B1	L34	424
B1	L4py	40
B1	L4sp	75
B1	L4ss	37
B1	L5st	267
B1	L5tt	36
B1	L6cc	61
B1	L6ccinv	53
B1	L6ct	67
B1	VPM	11
B1	L1	5
B1	L23Trans	1
B1	L45Peak	13
B1	L45Sym	7
B1	L56Trans	24
B1	SymLocal1	5
B1	SymLocal2	0
B1	SymLocal3	3
B1	SymLocal4	20
B1	SymLocal5	1
B1	SymLocal6	0
B2	L2	449
B2	L34	880
B2	L4py	96
B2	L4sp	100
B2	L4ss	246
B2	L5st	426
B2	L5tt	145
B2	L6cc	131
B2	L6ccinv	141
B2	L6ct	173
B2	VPM	48
B2	L1	34
B2	L23Trans	23
B2	L45Peak	79
B2	L45Sym	54
B2	L56Trans	81
B2	SymLocal1	32
B2	SymLocal2	6
B2	SymLocal3	27
B2	SymLocal4	70
B2	SymLocal5	1
B2	SymLocal6	0
B3	L2	209
B3	L34	338
B3	L4py	110
B3	L4sp	12
B3	L4ss	30
B3	L5st	157
B3	L5tt	79
B3	L6cc	148
B3	L6ccinv	57
B3	L6ct	134
B3	VPM	6
B3	L1	7
B3	L23Trans	4
B3	L45Peak	23
B3	L45Sym	15
B3	L56Trans	38
B3	SymLocal1	0
B3	SymLocal2	2
B3	SymLocal3	13
B3	SymLocal4	28
B3	SymLocal5	2
B3	SymLocal6	0
B4	L2	58
B4	L34	94
B4	L4py	44
B4	L4sp	5
B4	L4ss	0
B4	L5st	53
B4	L5tt	56
B4	L6cc	53
B4	L6ccinv	91
B4	L6ct	77
B4	VPM	0
B4	L1	1
B4	L23Trans	0
B4	L45Peak	3
B4	L45Sym	5
B4	L56Trans	11
B4	SymLocal1	0
B4	SymLocal2	0
B4	SymLocal3	1
B4	SymLocal4	2
B4	SymLocal5	0
B4	SymLocal6	0
Beta	L2	51
Beta	L34	104
Beta	L4py	6
Beta	L4sp	7
Beta	L4ss	0
Beta	L5st	109
Beta	L5tt	0
Beta	L6cc	74
Beta	L6ccinv	57
Beta	L6ct	0
Beta	VPM	0
Beta	L1	3
Beta	L23Trans	0
Beta	L45Peak	1
Beta	L45Sym	0
Beta	L56Trans	1
Beta	SymLocal1	0
Beta	SymLocal2	0
Beta	SymLocal3	0
Beta	SymLocal4	1
Beta	SymLocal5	0
Beta	SymLocal6	0
C1	L2	347
C1	L34	358
C1	L4py	29
C1	L4sp	85
C1	L4ss	84
C1	L5st	315
C1	L5tt	19
C1	L6cc	69
C1	L6ccinv	64
C1	L6ct	91
C1	VPM	33
C1	L1	9
C1	L23Trans	0
C1	L45Peak	22
C1	L45Sym	14
C1	L56Trans	33
C1	SymLocal1	2
C1	SymLocal2	0
C1	SymLocal3	5
C1	SymLocal4	17
C1	SymLocal5	0
C1	SymLocal6	0
C2	L2	933
C2	L34	1626
C2	L4py	170
C2	L4sp	466
C2	L4ss	692
C2	L5st	514
C2	L5tt	219
C2	L6cc	137
C2	L6ccinv	171
C2	L6ct	407
C2	VPM	125
C2	L1	36
C2	L23Trans	47
C2	L45Peak	98
C2	L45Sym	89
C2	L56Trans	126
C2	SymLocal1	55
C2	SymLocal2	16
C2	SymLocal3	116
C2	SymLocal4	87
C2	SymLocal5	4
C2	SymLocal6	1
C3	L2	308
C3	L34	556
C3	L4py	108
C3	L4sp	75
C3	L4ss	48
C3	L5st	134
C3	L5tt	48
C3	L6cc	132
C3	L6ccinv	99
C3	L6ct	10
C3	VPM	6
C3	L1	15
C3	L23Trans	2
C3	L45Peak	11
C3	L45Sym	11
C3	L56Trans	15
C3	SymLocal1	1
C3	SymLocal2	0
C3	SymLocal3	6
C3	SymLocal4	10
C3	SymLocal5	0
C3	SymLocal6	0
C4	L2	33
C4	L34	40
C4	L4py	0
C4	L4sp	13
C4	L4ss	0
C4	L5st	31
C4	L5tt	3
C4	L6cc	99
C4	L6ccinv	6
C4	L6ct	0
C4	VPM	0
C4	L1	0
C4	L23Trans	0
C4	L45Peak	0
C4	L45Sym	1
C4	L56Trans	1
C4	SymLocal1	0
C4	SymLocal2	0
C4	SymLocal3	0
C4	SymLocal4	0
C4	SymLocal5	0
C4	SymLocal6	0
D1	L2	56
D1	L34	76
D1	L4py	15
D1	L4sp	16
D1	L4ss	1
D1	L5st	66
D1	L5tt	0
D1	L6cc	36
D1	L6ccinv	10
D1	L6ct	0
D1	VPM	9
D1	L1	6
D1	L23Trans	0
D1	L45Peak	5
D1	L45Sym	5
D1	L56Trans	7
D1	SymLocal1	1
D1	SymLocal2	0
D1	SymLocal3	0
D1	SymLocal4	6
D1	SymLocal5	0
