Presynaptic column	Presynaptic cell type	Connected presynaptic cells
C2	SymLocal3	134
C2	SymLocal4	91
C2	SymLocal5	1
C2	SymLocal6	0
C3	L2	483
C3	L34	863
C3	L4py	130
C3	L4sp	151
C3	L4ss	137
C3	L5st	249
C3	L5tt	90
C3	L6cc	191
C3	L6ccinv	121
C3	L6ct	39
C3	VPM	7
C3	L1	23
C3	L23Trans	10
C3	L45Peak	29
C3	L45Sym	16
C3	L56Trans	29
C3	SymLocal1	5
C3	SymLocal2	4
C3	SymLocal3	24
C3	SymLocal4	27
C3	SymLocal5	1
C3	SymLocal6	0
C4	L2	26
C4	L34	12
C4	L4py	5
C4	L4sp	17
C4	L4ss	0
C4	L5st	18
C4	L5tt	10
C4	L6cc	42
C4	L6ccinv	39
C4	L6ct	0
C4	VPM	0
C4	L1	0
C4	L23Trans	0
C4	L45Peak	1
C4	L45Sym	2
C4	L56Trans	2
C4	SymLocal1	0
C4	SymLocal2	0
C4	SymLocal3	0
C4	SymLocal4	3
C4	SymLocal5	0
C4	SymLocal6	0
D1	L2	25
D1	L34	32
D1	L4py	9
D1	L4sp	56
D1	L4ss	1
D1	L5st	53
D1	L5tt	0
D1	L6cc	30
D1	L6ccinv	9
D1	L6ct	4
D1	VPM	7
D1	L1	1
D1	L23Trans	0
D1	L45Peak	3
D1	L45Sym	4
D1	L56Trans	6
D1	SymLocal1	0
D1	SymLocal2	0
D1	SymLocal3	0
D1	SymLocal4	2
D1	SymLocal5	0
D1	SymLocal6	0
D2	L2	273
D2	L34	396
D2	L4py	27
D2	L4sp	60
D2	L4ss	44
D2	L5st	38
D2	L5tt	44
D2	L6cc	173
D2	L6ccinv	88
D2	L6ct	2
D2	VPM	2
D2	L1	16
D2	L23Trans	2
D2	L45Peak	10
D2	L45Sym	11
D2	L56Trans	12
D2	SymLocal1	0
D2	SymLocal2	1
D2	SymLocal3	5
D2	SymLocal4	11
D2	SymLocal5	0
D2	SymLocal6	0
D3	L2	65
D3	L34	239
D3	L4py	31
D3	L4sp	37
D3	L4ss	6
D3	L5st	73
D3	L5tt	21
D3	L6cc	96
D3	L6ccinv	44
D3	L6ct	14
D3	VPM	0
D3	L1	10
D3	L23Trans	0
D3	L45Peak	2
D3	L45Sym	1
D3	L56Trans	4
D3	SymLocal1	0
D3	SymLocal2	0
D3	SymLocal3	0
D3	SymLocal4	0
D3	SymLocal5	0
D3	SymLocal6	0
D4	L2	27
D4	L34	16
D4	L4py	0
D4	L4sp	0
D4	L4ss	0
D4	L5st	0
D4	L5tt	9
D4	L6cc	98
D4	L6ccinv	44
D4	L6ct	2
D4	VPM	0
D4	L1	0
D4	L23Trans	0
D4	L45Peak	0
D4	L45Sym	0
D4	L56Trans	0
D4	SymLocal1	0
D4	SymLocal2	0
D4	SymLocal3	0
D4	SymLocal4	0
D4	SymLocal5	0
D4	SymLocal6	0
Delta	L2	0
Delta	L34	2
Delta	L4py	0
Delta	L4sp	0
Delta	L4ss	0
Delta	L5st	0
Delta	L5tt	0
Delta	L6cc	1
Delta	L6ccinv	0
Delta	L6ct	0
Delta	VPM	1
Delta	L1	0
Delta	L23Trans	0
Delta	L45Peak	0
Delta	L45Sym	0
Delta	L56Trans	0
Delta	SymLocal1	0
Delta	SymLocal2	0
Delta	SymLocal3	0
Delta	SymLocal4	0
Delta	SymLocal5	0
Delta	SymLocal6	0
E1	L2	0
E1	L34	0
E1	L4py	0
E1	L4sp	0
E1	L4ss	0
E1	L5st	38
E1	L5tt	0
E1	L6cc	4
E1	L6ccinv	3
E1	L6ct	0
E1	VPM	0
E1	L1	0
E1	L23Trans	0
E1	L45Peak	0
E1	L45Sym	0
E1	L56Trans	0
E1	SymLocal1	0
E1	SymLocal2	0
E1	SymLocal3	0
E1	SymLocal4	1
E1	SymLocal5	0
E1	SymLocal6	0
E2	L2	31
E2	L34	0
E2	L4py	0
E2	L4sp	0
E2	L4ss	0
E2	L5st	0
E2	L5tt	0
E2	L6cc	49
E2	L6ccinv	4
E2	L6ct	0
E2	VPM	0
E2	L1	0
E2	L23Trans	0
E2	L45Peak	0
E2	L45Sym	1
E2	L56Trans	0
E2	SymLocal1	0
E2	SymLocal2	0
E2	SymLocal3	0
E2	SymLocal4	0
E2	SymLocal5	0
E2	SymLocal6	0
E3	L2	0
E3	L34	1
E3	L4py	0
E3	L4sp	0
E3	L4ss	0
E3	L5st	0
E3	L5tt	0
E3	L6cc	15
E3	L6ccinv	14
E3	L6ct	0
E3	VPM	0
E3	L1	0
E3	L23Trans	0
E3	L45Peak	0
E3	L45Sym	0
E3	L56Trans	0
E3	SymLocal1	0
E3	SymLocal2	0
E3	SymLocal3	0
E3	SymLocal4	0
E3	SymLocal5	0
E3	SymLocal6	0
E4	L2	0
E4	L34	0
E4	L4py	0
E4	L4sp	0
E4	L4ss	0
E4	L5st	0
E4	L5tt	0
E4	L6cc	21
E4	L6ccinv	22
E4	L6ct	0
E4	VPM	0
E4	L1	0
E4	L23Trans	0
E4	L45Peak	0
E4	L45Sym	0
E4	L56Trans	0
E4	SymLocal1	0
E4	SymLocal2	0
E4	SymLocal3	0
E4	SymLocal4	0
E4	SymLocal5	0
E4	SymLocal6	0
Gamma	L2	11
Gamma	L34	19
Gamma	L4py	13
Gamma	L4sp	0
Gamma	L4ss	0
Gamma	L5st	0
Gamma	L5tt	0
Gamma	L6cc	34
Gamma	L6ccinv	43
Gamma	L6ct	0
Gamma	VPM	2
Gamma	L1	0
Gamma	L23Trans	0
Gamma	L45Peak	0
Gamma	L45Sym	0
Gamma	L56Trans	2
Gamma	SymLocal1	0
Gamma	SymLocal2	0
Gamma	SymLocal3	0
Gamma	SymLocal4	0
Gamma	SymLocal5	0
Gamma	SymLocal6	0
