Presynaptic column	Presynaptic cell type	Connected presynaptic cells
C2	SymLocal3	129
C2	SymLocal4	88
C2	SymLocal5	7
C2	SymLocal6	0
C3	L2	147
C3	L34	298
C3	L4py	50
C3	L4sp	65
C3	L4ss	5
C3	L5st	46
C3	L5tt	54
C3	L6cc	112
C3	L6ccinv	56
C3	L6ct	16
C3	VPM	0
C3	L1	5
C3	L23Trans	1
C3	L45Peak	5
C3	L45Sym	8
C3	L56Trans	8
C3	SymLocal1	0
C3	SymLocal2	0
C3	SymLocal3	0
C3	SymLocal4	12
C3	SymLocal5	0
C3	SymLocal6	0
C4	L2	25
C4	L34	71
C4	L4py	1
C4	L4sp	12
C4	L4ss	0
C4	L5st	0
C4	L5tt	5
C4	L6cc	84
C4	L6ccinv	0
C4	L6ct	0
C4	VPM	0
C4	L1	0
C4	L23Trans	0
C4	L45Peak	0
C4	L45Sym	0
C4	L56Trans	0
C4	SymLocal1	0
C4	SymLocal2	0
C4	SymLocal3	0
C4	SymLocal4	0
C4	SymLocal5	0
C4	SymLocal6	0
D1	L2	160
D1	L34	208
D1	L4py	27
D1	L4sp	44
D1	L4ss	17
D1	L5st	159
D1	L5tt	2
D1	L6cc	68
D1	L6ccinv	43
D1	L6ct	25
D1	VPM	18
D1	L1	15
D1	L23Trans	2
D1	L45Peak	13
D1	L45Sym	15
D1	L56Trans	26
D1	SymLocal1	1
D1	SymLocal2	1
D1	SymLocal3	7
D1	SymLocal4	18
D1	SymLocal5	0
D1	SymLocal6	0
D2	L2	170
D2	L34	797
D2	L4py	35
D2	L4sp	80
D2	L4ss	55
D2	L5st	71
D2	L5tt	56
D2	L6cc	106
D2	L6ccinv	63
D2	L6ct	8
D2	VPM	4
D2	L1	19
D2	L23Trans	4
D2	L45Peak	10
D2	L45Sym	13
D2	L56Trans	32
D2	SymLocal1	1
D2	SymLocal2	0
D2	SymLocal3	7
D2	SymLocal4	21
D2	SymLocal5	0
D2	SymLocal6	0
D3	L2	10
D3	L34	120
D3	L4py	43
D3	L4sp	1
D3	L4ss	9
D3	L5st	14
D3	L5tt	3
D3	L6cc	85
D3	L6ccinv	37
D3	L6ct	18
D3	VPM	0
D3	L1	1
D3	L23Trans	0
D3	L45Peak	0
D3	L45Sym	1
D3	L56Trans	1
D3	SymLocal1	0
D3	SymLocal2	0
D3	SymLocal3	0
D3	SymLocal4	2
D3	SymLocal5	0
D3	SymLocal6	0
D4	L2	26
D4	L34	2
D4	L4py	0
D4	L4sp	0
D4	L4ss	0
D4	L5st	0
D4	L5tt	0
D4	L6cc	18
D4	L6ccinv	22
D4	L6ct	0
D4	VPM	0
D4	L1	0
D4	L23Trans	0
D4	L45Peak	0
D4	L45Sym	0
D4	L56Trans	0
D4	SymLocal1	0
D4	SymLocal2	0
D4	SymLocal3	0
D4	SymLocal4	0
D4	SymLocal5	0
D4	SymLocal6	0
Delta	L2	1
Delta	L34	67
Delta	L4py	7
Delta	L4sp	2
Delta	L4ss	0
Delta	L5st	0
Delta	L5tt	0
Delta	L6cc	4
Delta	L6ccinv	1
Delta	L6ct	0
Delta	VPM	1
Delta	L1	1
Delta	L23Trans	0
Delta	L45Peak	4
Delta	L45Sym	2
Delta	L56Trans	5
Delta	SymLocal1	0
Delta	SymLocal2	0
Delta	SymLocal3	0
Delta	SymLocal4	3
Delta	SymLocal5	0
Delta	SymLocal6	0
E1	L2	76
E1	L34	11
E1	L4py	1
E1	L4sp	0
E1	L4ss	0
E1	L5st	0
E1	L5tt	0
E1	L6cc	11
E1	L6ccinv	12
E1	L6ct	0
E1	VPM	2
E1	L1	0
E1	L23Trans	0
E1	L45Peak	0
E1	L45Sym	1
E1	L56Trans	0
E1	SymLocal1	0
E1	SymLocal2	0
E1	SymLocal3	0
E1	SymLocal4	0
E1	SymLocal5	0
E1	SymLocal6	0
E2	L2	13
E2	L34	2
E2	L4py	0
E2	L4sp	0
E2	L4ss	0
E2	L5st	0
E2	L5tt	0
E2	L6cc	98
E2	L6ccinv	9
E2	L6ct	0
E2	VPM	0
E2	L1	0
E2	L23Trans	0
E2	L45Peak	0
E2	L45Sym	0
E2	L56Trans	0
E2	SymLocal1	0
E2	SymLocal2	0
E2	SymLocal3	0
E2	SymLocal4	0
E2	SymLocal5	0
E2	SymLocal6	0
E3	L2	0
E3	L34	3
E3	L4py	0
E3	L4sp	0
E3	L4ss	0
E3	L5st	0
E3	L5tt	0
E3	L6cc	7
E3	L6ccinv	60
E3	L6ct	6
E3	VPM	0
E3	L1	0
E3	L23Trans	0
E3	L45Peak	0
E3	L45Sym	0
E3	L56Trans	0
E3	SymLocal1	0
E3	SymLocal2	0
E3	SymLocal3	0
E3	SymLocal4	0
E3	SymLocal5	0
E3	SymLocal6	0
E4	L2	0
E4	L34	0
E4	L4py	0
E4	L4sp	0
E4	L4ss	0
E4	L5st	0
E4	L5tt	0
E4	L6cc	2
E4	L6ccinv	16
E4	L6ct	0
E4	VPM	0
E4	L1	0
E4	L23Trans	0
E4	L45Peak	0
