#begin,end,prob
0,50,0.0937008697
50,100,0.1011654088
100,150,0.1049521163
150,200,0.0900491684
200,250,0.0673006154
250,300,0.0505293551
300,350,0.0275260323
350,400,0.0109529264
400,450,0.0071967041
450,500,0.0039238913
500,550,0.0039021161
550,600,0.0026043141
600,650,0.0033555586
650,700,0.0025063257
700,750,0.0089278326
750,800,0.0023299466
800,850,0.0069266916
850,900,0.0087427434
900,950,0.0085228139
950,1000,0.0096311716
1000,1050,0.0345550673
1050,1100,0.0339475392
1100,1150,0.0317221136
1150,1200,0.035763591
1200,1250,0.0050649119
1250,1300,0.0437246047
1300,1350,0.0509082437
1350,1400,0.0502724078
1400,1450,0.0478226976
1450,1500,0.036303616
1500,1550,0.0148223797
1550,1600,0.0003462257
